#NAME	ERR9752345	ERR9752037	ERR9752038	ERR9752039	ERR9752040	ERR9752105	ERR9752106	ERR9752107	ERR9752108	ERR9752126	ERR9752127	ERR9752128	ERR9752129	ERR9752130	ERR9752133	ERR9752145	ERR9752146	ERR9752147	ERR9752148	ERR9752159	ERR9752160	ERR9752161	ERR9752162	ERR9752188	ERR9752208	ERR9752249	ERR9752250	ERR9752251	ERR9752252	ERR9752280	ERR9752281	ERR9752282	ERR9752283	ERR9752291	ERR9752292	ERR9752293	ERR9752294	ERR9752327	ERR9752328	ERR9752329	ERR9752330	ERR9752346	ERR9752347	ERR9752348	ERR9752428	ERR9752429	ERR9752430	ERR9752433	ERR9752434	ERR9752435	ERR9752448	ERR9752449	ERR9752450	ERR9752453	ERR9752454	ERR9752455
K00001	3.080177	0.0	0.0	0.0	0.0	2.11274	1.017548	0.0	1.29529	0.932588	0.0	0.0	113.89866	2.899198	29.803971999999998	0.245576	0.0	8.28834	0.0	0.0	86.51856	21.475173	9.243299	6.07186	0.0	0.6103368	0.0	51.207982	0.674234	7.0388594	0.0	0.0	0.93789	271.20953499999996	230.616556	56.515068	4.2828159	0.0	62.34358	0.0	12.08136	0.0	23.925452	15.150168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.788340000000005	43.98979	0.0	64.8906	33.089
K00003	3.170019	0.0	86.63204400000001	7.9638216	38.615030000000004	85.483087	2.325116	1.628026	111.506581	31.4668167	1.72536	0.0	1.846736	80.234443	57.661867	11.649309	0.0	19.2822743	30.39795	0.916888	4.78268	8.61344	14.624557000000001	7.402196099999999	18.8117904	4.315784	19.001838	5.083875	13.5869647	7.5604984	0.0	0.884144	38.921217999999996	1.314564	5.008145	43.623431	32.911751	8.88556	39.12955	13.1134805	42.9239792	4.1761192000000005	12.722459	58.173566	1.363566	8.413583	20.24158	0.7101639	0.0	27.374569200000003	0.0	1.961416	19.442759000000002	0.0	0.0	1.131302
K00004	0.268326	0.0	4.07596	0.0	0.0	0.278804	0.0	4.28738	0.0	0.0	0.888458	0.0	0.0	0.0	0.0	7.178056000000001	0.0	1.140164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.890718	1.4841609999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.691739	0.0	0.0	0.54418	0.0	0.0	0.0	0.0	0.0	2.7859	0.0	0.0	0.0	0.0	1.184672	0.0	0.0	4.56344	0.624552
K00005	10.89234	1.447291	65.918805	22.002564	66.962759	4.473376999999999	3.74682	5.54318	20.5331766	22.74936	0.0	0.0	41.360252	3.282143	30.979449	12.357117	30.617021	28.902240000000003	13.986039	184.21875129999998	92.9224	19.5543179	29.589976	8.3164198	9.848804	23.87441	27.69701	4.538441	11.391982	25.765781999999998	14.00697	33.195	58.309563	17.32502	7.095934	6.414227	4.17636	178.918857	0.685382	30.6644	15.242668	18.8487	8.032777900000001	26.61584	33.8326	17.28054	0.0	51.23582	56.85453	20.8434411	44.6086	19.9204221	11.951948	47.5638	17.956877000000002	26.88124
K00008	0.466092	1.690684	0.710769	8.953595	7.345889	17.84273	0.0	0.0	11.218437999999999	5.55662	134.4456	126.346	15.74422	49.138831	2.69248	0.0	0.0	0.0	3.93398	52.69161	1.850958	0.455352	9.36542	2.555021	1.21631	0.0	0.0	1.039714	4.928133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.19205	0.0	3.7933	20.000046	31.99376	1.171644	12.521042	178.087369	100.1226	8.92202	0.0	0.0	15.03591	0.0	0.359796	0.0	0.0	0.0	0.0
K00009	55.844625	127.241991	80.44712	130.5204187	5.26148	133.032897	0.0	1.4811071	1.981758	0.0	145.09351560000002	120.897201	38.542791	34.2298	0.1248606	15.447903	8.54212	8.8906979	2.500344	66.855081	13.635921	6.224615	2.509243	1.019725	0.587302	54.52455	10.849636	15.892223	6.06811	55.619051	15.52758	56.237197	2.87336	21.4022332	23.668150999999998	14.9160735	24.7842	254.608552	40.873047	62.244119	16.175516	28.0031471	16.43218	9.75406	76.23803	52.9582	24.66167	100.7844	101.20796	75.079364	0.0	14.071344	2.305383	60.8068	28.285	45.048276
K00010	0.288658	65.647665	20.064787000000003	17.666684	1.502644	15.87576	0.0	2.1282	2.135698	0.0	168.43719199999998	160.99607600000002	5.1716196	0.94738	3.2704	0.0	0.0	0.0	0.0	90.930841	1.370896	0.0	0.0	0.351212	2.394222	0.0	1.69876	8.877645	3.544493	0.0	0.0	0.0	0.0	0.0	3.792878	0.488126	0.0	238.43789999999998	3.2568418	4.83208	15.442076	26.732174	0.3738553	15.11171	85.16138	44.29405	2.587973	0.537496	0.0	12.27584	0.0	0.0	0.0	0.0	0.0	0.553698
K00012	23.08895	5.2462562	7.2086343	18.583199	50.20919000000001	6.415019	98.3302781	69.8174593	23.25853	71.41936	0.0	0.0	0.0	0.0	31.065089999999998	37.57799	101.25742000000001	37.562145	32.33483	21.030855	20.7854	65.370424	35.518997	69.23997399999999	75.412541	68.118966	203.938316	35.663605000000004	81.182779	22.01382	19.792417	45.8776	39.425356	4.4741602	14.271264	11.6614814	104.81513799999999	2.368278	0.0	16.392203	2.4206950000000003	0.0	7.438461	93.653368	45.802797	43.018769999999996	29.2966	7.98994	4.221753	6.0156377	8.040610000000001	12.346334	14.490661	8.431421	174.77116	99.824332
K00013	166.2304438	6.354976	299.903466	44.96821	80.751585	303.068188	201.511658	160.95938	161.462606	64.92276	0.0	0.0	349.519909	96.76446899999999	124.126938	115.86702000000001	175.141125	254.70028	55.784829	109.334732	391.505859	282.4523291	215.1260605	85.1898762	58.6050422	76.800988	136.574579	363.9682453	91.8544589	220.059529	108.9426	18.0288	113.862225	362.23042	333.857945	211.09755740000003	32.322376	6.0951	300.153721	56.8271884	95.3382586	197.231998	162.89542269999998	109.3670644	41.835	74.16502000000001	106.16626000000001	72.755415	67.48645640000001	55.7765797	221.365905	391.753664	306.969767	77.27483459999999	164.45853	119.7923086
K00014	16.0651026	2.9180044	20.3550183	8.214527	163.364688	90.164385	31.614917	18.6599931	154.239345	37.188369	3.358364	1.119286	1.297164	14.594522	137.79728	75.235349	149.75622800000002	60.11742	91.801127	40.373803	22.032553	65.260818	45.578461000000004	159.518237	122.4358	42.153991000000005	115.6464275	20.4364453	118.12447	27.560223399999998	149.31088	25.8776	142.8358038	9.824138	21.8867556	88.97497	150.800664	64.827378	1.772376	24.5274	17.373210999999998	2.0548	5.307276000000001	164.527381	2.2717840000000002	0.0	15.75242	24.347793	30.599822	9.257026	64.598825	4.950786	13.835953	17.77248	92.032012	45.4133762
