#NAME	ERR9751998	ERR9751999	ERR9752000	ERR9752001	ERR9752031	ERR9752032	ERR9752048	ERR9752049	ERR9752050	ERR9752051	ERR9752054	ERR9752060	ERR9752061	ERR9752062	ERR9752063	ERR9752079	ERR9752209	ERR9752265	ERR9752266	ERR9752267	ERR9752268	ERR9752297	ERR9752298	ERR9752299	ERR9752300	ERR9752343	ERR9752344	ERR9752351	ERR9752352	ERR9752353	ERR9752354	ERR9752355	ERR9752376	ERR9752377	ERR9752378	ERR9752381	ERR9752382	ERR9752383	ERR9752390	ERR9752391	ERR9752392	ERR9752409	ERR9752410	ERR9752411	ERR9752458	ERR9752459	ERR9752460	ERR9752464	ERR9752465	ERR9752468	ERR9752469	ERR9752470	ERR9752473	ERR9752474	ERR9752475
K00001	25.32893	0.0	16.80844	0.0	8.58148	2.9821	3.50846	0.0	43.954848999999996	47.714009	7.71658	8.22336	10.48434	9.6513	0.0	0.0	0.0	2.456543	0.0	240.091531	20.3594456	1.755296	0.0	0.0	5.386444	0.94318	0.0	35.379566000000004	0.347248	0.0	7.938	2.70944	4.3874949999999995	10.91656	0.0	0.0	2.4690771	0.0	0.0	34.456971	12.986180000000001	0.0	14.444341999999999	0.0	106.7319	30.76364	74.5568	0.0	0.909402	0.0	0.0	30.648809	72.86962	46.84894	0.0
K00003	11.5988226	11.03314	24.735534	25.05818	43.173012	25.150032	6.0148410000000005	38.207366	3.7142420000000005	58.437439	7.312196	1.3213	14.588116	13.229997000000001	13.0863361	52.224167	62.2005747	83.509012	1.214502	2.430622	49.6272096	124.569493	0.0	24.154192899999998	38.0775939	139.8228573	140.64676400000002	6.776517	1.2610245	56.494367	233.476098	114.456784	13.593187	30.060273199999997	1.583962	0.0	1.53761	68.411022	0.0	2.69358	1.403774	6.6000901	4.87838	2.415277	4.8953446000000005	5.95702	20.8132	7.143077	6.103383	3.809658	52.853437400000004	6.342854	0.0	2.3262	2.0625202000000002
K00005	30.895987	8.7933653	12.57831	13.7163974	10.408055000000001	15.893308	5.7020403	3.418575	17.6929467	14.795094800000001	7.059308000000001	142.1804	105.113812	121.735397	58.50084	28.883456000000002	7.708243	3.27054	0.0	10.485038	29.39199	0.0	0.0	5.316259	7.35131	0.0	46.960578	16.86336	0.0	0.0	0.0	10.0277443	0.0	0.0	46.7013208	33.5541786	14.31605	30.47822	0.0	32.72259	12.38042	48.7516	30.394	11.135937	0.0	0.0	1.103962	48.43712	38.38	0.0	11.03058	14.007844	43.24158	32.7556	5.6582333
K00009	18.761291	21.346394999999998	15.529136000000001	2.996722	18.780882	9.2104004	18.259225999999998	28.416047	8.920197	4.8348837	2.24762	53.886250000000004	17.4205	8.159089400000001	3.94782	4.302156	1.3380102999999999	3.62874	8.17866	25.07745	12.22952	12.46022	58.912453	101.616477	2.255379	1.242934	6.07692	6.99342	163.30513000000002	20.444931	33.5286079	22.5448315	477.314	150.616576	39.6483884	45.7330179	21.01	64.5926113	0.0	9.522856	7.35388	59.653298	86.72357	32.283768	105.705004	134.55123799999998	77.655362	50.8819718	43.33648	204.545655	18.560566	69.508148	3.584699	0.0	64.209399
K00012	14.377055	79.425364	82.495479	64.88718	31.0342	61.212430000000005	26.130029999999998	79.01438999999999	119.91781399999999	134.066789	74.72642	108.6288	113.440801	110.887186	55.171369999999996	4.226866	54.146377	0.0	0.0	15.566984999999999	40.904028000000004	0.0	0.0	0.0	0.502178	1.1255	39.385163	26.13319	0.0	2.01088	0.0	34.692622	0.0	0.0	27.3909405	150.1516	236.46822999999998	129.7846	0.0	56.278625	105.5308	22.961068	168.58813700000002	102.802809	0.0	3.7162	3.0737958	1.8027503999999999	8.30136	0.0	12.317483	3.760365	7.647652	48.169167	57.672733
K00013	220.809764	127.87796	228.07444800000002	112.6278069	60.947833	74.834018	213.1357933	188.370025	222.98583119999998	223.791792	86.784831	151.719228	227.59838000000002	218.341879	105.796164	29.344765	134.737437	173.873989	356.092443	331.200493	100.58436	219.28574600000002	0.0	106.59701989999999	85.405217	154.121379	146.863532	144.856574	0.621442	61.9566	273.5937798	134.67176899999998	9.175098	63.1014	17.763428	92.39700500000001	172.837572	172.788994	329.69841199999996	272.78208	210.44351	62.35958	218.202229	154.2022848	1.402372	31.72778	70.311655	219.76769	63.775804	11.649418	367.1858312	103.8531909	520.612544	277.626126	169.79966
K00014	25.382419	27.811156	17.45878	91.839968	204.332444	104.365549	44.2103819	54.6203547	87.03199	151.79242299999999	107.946225	59.426582	73.778009	59.919233	125.781778	15.195605	98.716004	242.199612	66.514657	3.8744	186.56361	339.9539935	1.81973	0.0	79.08118999999999	129.32399	146.051178	117.486991	9.61722	47.4659869	0.520782	69.407989	227.85388	0.657174	65.642423	76.8658138	166.6130318	118.00506999999999	13.34076	40.095649	114.557801	24.015707	13.67246	7.869911999999999	0.0	7.83578	2.8579	12.89958	81.84495	0.0	38.50622	2.8855782	8.163842	36.44862	154.432303
K00016	283.9056799	83.05338880000001	205.341859	16.753142	42.0122	69.7428034	246.14208	266.348334	112.605834	174.20417799999998	60.239165	248.2995691	286.5296107	264.285653	96.9194691	34.467557	100.73074700000001	268.5400318	305.96769	612.509819	73.9952557	269.582332	0.0	36.778255	120.9262647	93.50477699999999	76.493229	129.050784	204.5799782	107.607968	148.094841	105.6114406	88.192503	0.0	4.356863000000001	0.6418982	17.009359	160.03798700000002	492.57349	434.318142	171.66976400000001	0.796676	214.238487	124.576976	2.9138	0.0	1.905094	180.0231601	45.2796322	16.61393	274.08982799999995	131.60228600000002	568.776298	375.830178	13.5936038
K00018	4.987878	37.4494	53.2529	22.170250000000003	0.352284	10.41423	25.07163	6.06716	48.586406	27.3064	4.16404	2.1377	0.0	0.0	7.32763	25.069455	5.13636	0.0	0.0	2.1849	22.126193	0.0	0.0	0.0	2.7846789999999997	1.282826	21.43304	2.466163	0.0	0.0	9.31416	7.223777999999999	0.0	0.0	0.0	0.0	0.0	0.983274	0.0	8.13459	2.80326	0.0	0.0	0.0	0.0	0.0	0.0	0.639802	2.6213	0.0	0.0	0.0	0.0	4.15886	4.2461
K00024	88.33597	144.17341	110.5802135	100.03858	57.2832237	32.275383	87.7363	83.3924445	176.531717	67.827223	204.7761419	101.7551143	93.496686	66.744768	125.802657	4.183222000000001	73.819404	99.361369	71.790938	20.843389	103.705966	68.06523770000001	79.708241	91.751618	0.7111270000000001	1.5862967000000001	51.4984732	57.265981	111.7956	27.8922	41.1379774	37.2215755	196.291337	176.5254138	118.2817639	176.5435255	244.5124401	107.1485737	0.0	26.725592000000002	88.448634	74.320567	45.449778	49.329799	98.507192	191.09198	88.4711018	44.488928	45.508089	228.104128	19.2639485	181.46585	16.544777	44.44433	179.486999
