#NAME	ERR9752048	ERR9752053	ERR9752060	ERR9752065	ERR9752066	ERR9752070	ERR9752099	ERR9752104	ERR9752105	ERR9752110	ERR9752116	ERR9752120	ERR9752121	ERR9752125	ERR9752145	ERR9752150	ERR9752159	ERR9752164	ERR9752171	ERR9752176	ERR9752177	ERR9752181	ERR9752183	ERR9752187	ERR9752193	ERR9752197	ERR9752233	ERR9752238	ERR9752239	ERR9752243	ERR9752255	ERR9752259	ERR9752265	ERR9752270	ERR9752280	ERR9752285	ERR9752286	ERR9752290	ERR9752297	ERR9752302	ERR9752317	ERR9752321	ERR9752352	ERR9752357	ERR9752376	ERR9752380	ERR9752409	ERR9752413	ERR9752414	ERR9752417	ERR9752423	ERR9752427	ERR9752438	ERR9752442	ERR9752458	ERR9752462
K00001	3.50846	0.0	8.22336	0.0	27.612282	0.0	0.0	0.0	2.11274	0.0	29.5538	4.144426	0.4389942	0.409488	0.245576	4.845624	0.0	9.1884226	78.916	0.0	23.0378	0.0	10.38224	0.0	0.0	0.0	1.8894776	0.0	11.16522	2.4611	15.5692	0.0	2.456543	0.0	7.0388594	0.0	48.825476	4.506437999999999	1.755296	0.0	0.678173	0.0	0.347248	1.721734	4.3874949999999995	0.0	0.0	0.0	0.0	0.0	62.280237	0.0	0.0	1.04388	106.7319	0.0
K00003	6.0148410000000005	12.447422	1.3213	16.676938	9.226496000000001	9.14136	12.53864	11.072344900000001	85.483087	24.468438	22.14037	20.174609	1.006192	26.315395000000002	11.649309	14.217407	0.916888	38.749143000000004	95.2134	8.610933	7.352481	14.328643	12.97374	22.887590199999998	1.568888	14.351498	60.9993757	22.182028	0.208334	26.217564	19.439034	13.746841	83.509012	53.387997	7.5604984	26.812842	2.774144	25.433388	124.569493	47.9522082	0.958303	27.401646	1.2610245	21.283446	13.593187	20.903	6.6000901	32.05901	0.0	0.0	0.0	21.76022	8.91168	64.653068	4.8953446000000005	49.372039
K00005	5.7020403	29.358784	142.1804	4.618282000000001	0.0	42.580391999999996	0.0	6.096141	4.473376999999999	5.017938	0.9648635000000001	65.19454	17.8091	1.826312	12.357117	14.800215999999999	184.21875129999998	30.748201	40.8418	22.181829	6.095506	22.601004	0.0	10.4778	0.0	9.445775	107.573773	40.297326	3.02404	10.050043	0.0	5.21952	3.27054	11.403077999999999	25.765781999999998	21.149195	0.0	36.123217999999994	0.0	27.719749999999998	28.6712	19.306942	0.0	42.06716	0.0	14.739	48.7516	10.361441	37.2018	0.0	9.29976	7.3308	6.908267	14.479686	0.0	7.588858
K00009	18.259225999999998	4.9333394	53.886250000000004	0.0	124.9926	3.8740959999999998	3.16546	3.0689830000000002	133.032897	3.613524	78.557965	4.57154	29.826192	1.38228	15.447903	3.495539	66.855081	4.7015	57.889781	8.235603	9.86946	1.839268	102.0041	1.534498	118.239593	4.928217	137.502743	30.762845	66.8491922	7.543733	16.036101000000002	3.55198	3.62874	0.0	55.619051	5.06568	35.5976	2.97232	12.46022	1.64515	111.922795	2.363136	163.30513000000002	0.730098	477.314	0.0	59.653298	0.0	27.264	0.0	12.6576602	0.0	1.325384	7.64026	105.705004	2.072242
K00012	26.130029999999998	22.857825000000002	108.6288	54.354368	0.0	24.937362	0.0	15.17859	6.415019	18.3457	15.762399	34.1683995	2.53318	25.498418	37.57799	22.270782	21.030855	43.562405	39.7304	33.736226	5.485201	11.993203	0.914846	58.296831999999995	17.23024	24.032827	0.0	3.879256	0.0	22.363634	0.0	11.849107	0.0	89.271225	22.01382	62.927051999999996	0.0	73.70058399999999	0.0	15.565072	0.0	15.837423000000001	0.0	8.409575	0.0	128.21262000000002	22.961068	55.707422	31.764208	12.972850000000001	0.0	24.720825	0.0	56.27122	0.0	25.34801
K00013	213.1357933	44.565559	151.719228	25.133592	109.458034	40.226176	403.546	16.044459	303.068188	49.484571	332.959806	103.599238	134.577999	24.38559	115.86702000000001	59.361064999999996	109.334732	41.9501967	885.10181	40.819913	429.21379	16.640892	12.74628	54.740775	0.0	46.7871406	93.740822	20.196772	97.8877244	52.884385	24.8328	19.197737	173.873989	34.4507557	220.059529	40.341210000000004	322.841935	74.4760181	219.28574600000002	61.9186467	1.5280173	28.289369	0.621442	13.110864	9.175098	57.377773	62.35958	22.648167	89.5635312	0.0	263.42771	68.434355	413.974603	55.260695999999996	1.402372	72.862792
K00014	44.2103819	61.204819	59.426582	95.8301901	4.012803	21.377797700000002	15.94232	94.665639	90.164385	99.5330573	29.864995999999998	39.297222999999995	93.361824	85.4049882	75.235349	20.640978	40.373803	79.567344	74.40592000000001	44.580178599999996	2.14936	56.067007000000004	30.33882	99.4996379	0.607198	63.16062	2.4036049999999998	48.3533737	13.717740899999999	68.9335742	82.92836199999999	70.20444	242.199612	117.71395079999999	27.560223399999998	87.9898076	31.680075000000002	124.22935799999999	339.9539935	67.8396475	37.5864253	62.027412	9.61722	101.243367	227.85388	150.152158	24.015707	93.283938	103.43125	56.569230000000005	94.80887	147.36734	11.60832	172.99325	0.0	72.21786
K00016	246.14208	23.4792293	248.2995691	2.9136407	167.75319299999998	51.8852131	681.669699	12.1884845	443.694019	9.58408	493.07187799999997	189.30905719999998	1.6149013	32.334023	104.3168213	93.2476396	329.54443119999996	48.19961	31.32801	8.237561	502.94257699999997	34.7669754	112.84897000000001	12.151327	5.920536	14.294497999999999	27.0659609	2.183778	201.4756672	32.45143	22.320826	4.716314	268.5400318	12.795397	251.702023	31.846026	534.8557121	126.16981949999999	269.582332	22.8878398	102.777654	24.125747	204.5799782	39.626951	88.192503	3.8168	0.796676	5.869322	20.985362	0.0	581.515334	1.954904	459.220032	23.420988	2.9138	29.9793715
K00018	25.07163	35.601667	2.1377	3.9386780000000003	0.0	22.428372	0.0	2.747081	5.789699000000001	7.785069999999999	0.0	43.341782	0.0	0.812789	0.491968	20.0883964	0.0	25.068052	39.7316	23.766838	7.393256	10.107444000000001	0.0	8.587719	0.0	5.174066	0.0	39.023694	0.0	25.767401	0.0	11.534664	0.0	6.665974	3.38938	13.389696	0.0	35.979164	0.0	11.2540886	0.0	8.924683	0.0	8.709443	0.0	24.49377	0.0	27.414815	0.0	0.0	0.0	0.985466	1.46771	35.13381	0.0	4.53842
K00024	87.7363	48.959952	101.7551143	49.044032	154.924283	4.7130635	0.0	64.810329	79.6768442	70.3436213	26.175812399999998	3.8631365	192.3537164	15.6261856	70.4769561	10.178618	95.15982500000001	15.611077	91.53614	59.385866	16.152617	30.607371099999998	168.81696	86.8614493	87.51843600000001	62.90523	101.063767	48.8776503	36.7024	40.149584	52.13024	52.78896	99.361369	43.0726251	100.9123239	75.920131	38.1811806	12.99652	68.06523770000001	31.643201	109.2202	36.103021	111.7956	41.1064583	196.291337	102.528184	74.320567	69.1360067	96.0168788	23.806742	60.6184466	64.631582	2.17086	50.572008600000004	98.507192	32.947395
